date,ticker,direction,shares,price,commission,sales_tax,slippage,total_cost,cash_after
2019-05-16 07:00:00,VJC,BUY,1539300,118.059,227160.273375,0.0,90818.69999999616,227160.273375,550014931.1423134
2019-06-04 07:00:00,HPG,SELL,21370300,8.475760000000001,226411.91741000005,181129.53392800005,90610.07199998622,407541.45133800013,730736923.6189754
2019-09-20 07:00:00,VNM,BUY,2472000,75.15756,232236.86040000003,0.0,92848.3199999979,232236.86040000003,544715198.4385754
2019-10-04 07:00:00,STB,BUY,17671700,10.50525,232057.03303125003,0.0,92776.42500000351,232057.03303125003,358837514.9805441
2019-11-06 07:00:00,VHM,BUY,2570300,71.85591,230864.05684124999,0.0,92299.47300000313,230864.05684124999,173915405.45070285
2019-11-08 07:00:00,VRE,BUY,4930900,35.51775,218918.09184375,0.0,87523.47499999747,218918.09184375,-1437986.116140902
2019-11-21 07:00:00,VNM,SELL,2472000,74.9625,231634.125,185307.30000000002,92699.99999998594,416941.42500000005,183452372.4588591
2019-11-25 07:00:00,STB,SELL,17671700,10.294850000000002,227409.37593125005,181927.50074500003,91009.25499997624,409336.8766762501,364970536.3271829
2019-12-17 07:00:00,VHM,SELL,2570300,63.45825500000001,203883.44103312504,163106.75282650004,81594.1734999838,366990.1938596251,527710298.95982325
2019-12-25 07:00:00,VRE,SELL,4930900,32.68365000000001,201449.76223125003,161159.80978500002,80620.21499997853,362609.57201625005,688507499.172807
2019-12-26 07:00:00,VJC,SELL,1539300,143.7281,276550.8304125,221240.66433000003,110675.6699999991,497791.4947425,909250372.0080645
2020-01-08 07:00:00,VJC,BUY,1246400,145.77284999999998,227114.1003,0.0,90800.23999998544,227114.1003,727331977.6677645
2020-02-04 07:00:00,VJC,SELL,1246400,125.43725,195431.2355,156344.9884,78211.59999999263,351776.2239,883325189.8438646
2020-02-18 07:00:00,VHM,BUY,2844500,63.881924999999995,227140.169578125,0.0,90810.6624999829,227140.169578125,701385914.0117865
2020-02-20 07:00:00,VHM,SELL,2844500,63.748110000000004,226664.37361875002,181331.49889500003,90711.10499999172,407995.87251375004,882309417.0342727
2020-02-21 07:00:00,VHM,BUY,2837800,63.81189,226356.7268025,0.0,90497.44199999173,226356.7268025,700997678.8654702
2020-02-28 07:00:00,VHM,SELL,2837800,57.851060000000004,205212.17258500002,164169.73806800004,82125.93199999612,369381.91065300006,864798035.0228171
2020-04-28 07:00:00,VJC,BUY,1602200,113.0565,226423.90537500003,0.0,90524.29999999964,226423.90537500003,683432486.8174422
2020-04-28 07:00:00,VNM,BUY,2888300,62.991479999999996,227422.86460499998,0.0,90923.6839999851,227422.86460499998,501266772.2688372
2020-04-29 07:00:00,HPG,BUY,24674300,7.413704999999999,228659.97660187498,0.0,91418.2814999798,228659.97660187498,318110131.0107354
2020-05-04 07:00:00,VRE,BUY,7872200,22.8114,224469.87884999998,0.0,89743.07999998661,224469.87884999998,138309758.0518854
2020-05-18 07:00:00,VHM,BUY,2614700,52.596284999999995,171904.382986875,0.0,68727.3894999852,171904.382986875,614347.2793985307
2020-06-19 07:00:00,VJC,SELL,1602200,110.9445,222194.097375,177755.27790000002,88922.09999999199,399949.375275,177969675.80412355
2020-07-02 07:00:00,VRE,SELL,7872200,26.3868,259652.70870000002,207722.16696,103913.03999998157,467374.87566,385224467.88846356
2020-07-28 07:00:00,VNM,SELL,2888300,64.497735,232861.01000062504,186288.80800050002,93190.9994999865,419149.81800112507,571094126.0709624
2020-08-07 07:00:00,VHM,SELL,2614700,58.740615000000005,191986.35755062502,153589.08604050003,76832.95949999418,345575.4435911251,724337636.6678714
2020-08-17 07:00:00,VHM,BUY,3227700,58.27912499999999,235134.414703125,0.0,94006.76249997872,235134.414703125,535994970.49066824
2020-08-21 07:00:00,VNM,BUY,2653800,71.69582999999999,237832.99206749996,0.0,95085.65399997355,237832.99206749996,345490743.8446008
2020-09-14 07:00:00,MSN,BUY,4257100,44.58228,237239.03023499998,0.0,94848.18799997859,237239.03023499998,155462280.6263658
2020-09-15 07:00:00,VHM,SELL,3227700,57.41128,231632.98557000002,185306.38845600002,92699.54399999954,416939.37402600003,340351729.7083398
2020-11-23 07:00:00,VHM,BUY,3277400,58.579274999999996,239984.64485625,0.0,95945.88499999471,239984.64485625,148124029.17848358
2020-12-21 07:00:00,MSN,SELL,4257100,69.65515500000001,370661.20043812506,296528.96035050007,148338.64949995754,667190.1607886251,443985799.36819506
