date,total_value
2021-10-20 07:00:00,1044646145.174561
2021-10-21 07:00:00,1040440108.174561
2021-10-22 07:00:00,1033875895.174561
2021-10-25 07:00:00,1020305219.174561
2021-10-26 07:00:00,1026135618.174561
2021-10-27 07:00:00,1040263902.174561
2021-10-28 07:00:00,1045611966.174561
2021-10-29 07:00:00,1037802475.174561
2021-11-01 07:00:00,1028922643.174561
2021-11-02 07:00:00,1028094068.174561
2021-11-03 07:00:00,1041569978.174561
2021-11-04 07:00:00,1040651501.174561
2021-11-05 07:00:00,1040555517.174561
2021-11-08 07:00:00,1038838317.3430517
2021-11-09 07:00:00,1036242214.3430517
2021-11-10 07:00:00,1026556401.3430517
2021-11-11 07:00:00,1009946373.3430517
2021-11-12 07:00:00,1025638926.3430517
2021-11-15 07:00:00,1013454072.3430517
2021-11-16 07:00:00,1006637964.3430517
2021-11-17 07:00:00,1003487239.3430517
2021-11-18 07:00:00,986958354.3430517
2021-11-19 07:00:00,992215762.3430517
2021-11-22 07:00:00,1015888450.4771767
2021-11-23 07:00:00,1006599527.4771767
2021-11-24 07:00:00,1039945283.9612197
2021-11-25 07:00:00,1037463433.9612197
2021-11-26 07:00:00,1030144400.9612197
2021-11-29 07:00:00,1016182196.9612197
2021-11-30 07:00:00,1002399150.9612197
2021-12-01 07:00:00,1014944661.9612197
2021-12-02 07:00:00,1006518030.9612197
2021-12-03 07:00:00,986001911.9612197
2021-12-06 07:00:00,968425322.9612197
2021-12-07 07:00:00,983851810.9612197
2021-12-08 07:00:00,989704316.9612197
2021-12-09 07:00:00,997830461.9612197
2021-12-10 07:00:00,993897440.9612197
2021-12-13 07:00:00,993827826.3811147
2021-12-14 07:00:00,987870787.3811147
2021-12-15 07:00:00,988782465.3811147
2021-12-16 07:00:00,992202935.3811147
2021-12-17 07:00:00,992906889.3811147
2021-12-20 07:00:00,992259831.3811147
2021-12-21 07:00:00,985998452.3811147
2021-12-22 07:00:00,979727814.3811147
2021-12-23 07:00:00,981429461.3811147
2021-12-24 07:00:00,991852300.3811147
2021-12-27 07:00:00,994247300.3811147
2021-12-28 07:00:00,1011937128.3811147
2021-12-29 07:00:00,1009429678.3811147
2021-12-30 07:00:00,1014644385.3811147
2021-12-31 07:00:00,1022681483.3811147
2022-01-04 07:00:00,1027127423.3811147
2022-01-05 07:00:00,1036952611.2059588
2022-01-06 07:00:00,1038064096.2059588
2022-01-07 07:00:00,1032506671.2059588
2022-01-10 07:00:00,1029913206.2059588
2022-01-11 07:00:00,1036211621.2059588
2022-01-12 07:00:00,1052883896.2059588
2022-01-13 07:00:00,1049919936.2059588
2022-01-14 07:00:00,1055106866.2059588
2022-01-17 07:00:00,1037323106.2059588
2022-01-18 07:00:00,1046955976.2059588
2022-01-19 07:00:00,1039546076.2059588
2022-01-20 07:00:00,1046214986.2059588
2022-01-21 07:00:00,1052142906.2059588
2022-01-24 07:00:00,1042510036.2059588
2022-01-25 07:00:00,1052883896.2059588
2022-01-26 07:00:00,1059182311.2059588
2022-01-27 07:00:00,1058070826.2059588
2022-01-28 07:00:00,1059182311.2059588
2022-02-07 07:00:00,1059552806.2059588
2022-02-08 07:00:00,1061405281.2059588
2022-02-09 07:00:00,1053588501.5288376
2022-02-10 07:00:00,1051365531.5288376
2022-02-11 07:00:00,1055843446.5288376
